order_id;product_id;unit_price;quantity;discount
831;11;14;12;0
831;42;9,8;10;0
831;72;34,8;5;0
832;14;18,6;9;0
832;51;42,4;40;0
833;41;7,7;10;0
833;51;42,4;35;0,15
833;65;16,8;15;0,15
834;22;16,8;6;0,05
834;57;15,6;15;0,05
834;65;16,8;20;0
835;20;64,8;40;0,05
835;33;2;25;0,05
835;60;27,2;40;0
836;31;10;20;0
836;39;14,4;42;0
836;49;16;40;0
837;24;3,6;15;0,15
837;55;19,2;21;0,15
837;74;8;21;0
838;2;15,2;20;0
838;16;13,9;35;0
838;36;15,2;25;0
838;59;44;30;0
839;53;26,2;15;0
839;77;10,4;12;0
840;27;35,1;25;0
840;39;14,4;6;0
840;77;10,4;15;0
841;2;15,2;50;0,2
841;5;17;65;0,2
841;32;25,6;6;0,2
842;21;8;10;0
842;37;20,8;1;0
843;41;7,7;16;0,25
843;57;15,6;50;0
843;62;39,4;15;0,25
843;70;12;21;0,25
844;21;8;20;0
844;35;14,4;20;0
845;5;17;12;0,2
845;7;24;15;0
845;56;30,4;2;0
846;16;13,9;60;0,25
846;24;3,6;28;0
846;30;20,7;60;0,25
846;74;8;36;0,25
847;2;15,2;35;0
847;41;7,7;25;0,15
848;17;31,2;30;0
848;70;12;20;0
849;12;30,4;12;0,05
850;40;14,7;50;0
850;59;44;70;0,15
850;76;14,4;15;0,15
851;29;99;10;0
851;72;27,8;4;0
852;33;2;60;0,05
852;72;27,8;20;0,05
853;36;15,2;30;0
853;43;36,8;25;0
854;33;2;24;0
855;20;64,8;6;0
855;31;10;40;0
855;72;27,8;24;0
856;10;24,8;24;0,05
856;31;10;15;0,05
856;33;2;20;0
856;40;14,7;60;0,05
856;76;14,4;33;0,05
857;71;17,2;20;0
857;72;27,8;7;0
858;24;3,6;12;0,05
858;59;44;6;0,05
859;10;24,8;15;0
859;13;4,8;10;0
860;28;36,4;20;0
860;62;39,4;12;0
861;44;15,5;16;0
861;59;44;15;0
861;63;35,1;8;0
